number,id,arm,stage,leaf,kind,native_status,seconds,work,nodes,simplex_iterations,call_work_per_node_including_root,call_seconds_per_node_including_root
20,warm_micro,warm-joint,warm_micro_v3,L0.1.1,LP,INFEASIBLE,0.0,3.8504e-05,0.0,0.0,,
20,warm_micro,warm-joint,warm_micro_v3,L0.1.0.0,LP,INFEASIBLE,0.0,4.44435e-05,0.0,0.0,,
20,warm_micro,warm-joint,warm_micro_v3,L0.1.0.1,LP,OPTIMAL,0.0010001659393310547,0.00041234053156987115,0.0,19.0,,
20,warm_micro,warm-joint,warm_micro_v3,L0.1.0.1.0,LP,OPTIMAL,0.0009999275207519531,0.0004128565289382923,0.0,19.0,,
20,warm_micro,warm-joint,warm_micro_v3,L0.1.0.1.1,LP,INFEASIBLE,0.0,3.8406e-05,0.0,0.0,,
20,warm_micro,warm-joint,warm_micro_v3,L0.1.0.1.0.0,LP,OPTIMAL,0.0009999275207519531,0.0004179147380714191,0.0,19.0,,
20,warm_micro,warm-joint,warm_micro_v3,L0.1.0.1.0.1,LP,INFEASIBLE,0.0,3.8406e-05,0.0,0.0,,
20,warm_micro,warm-joint,warm_micro_v3,L0.1.0.1.0.0.0,LP,OPTIMAL,0.0009999275207519531,0.0004266633766472702,0.0,22.0,,
20,warm_micro,warm-joint,warm_micro_v3,L0.1.0.1.0.0.1,LP,INFEASIBLE,0.0,3.8406e-05,0.0,0.0,,
20,warm_micro,warm-joint,warm_micro_v3,L0.1.0.1.0.0.0.0,LP,INFEASIBLE,0.0,4.44435e-05,0.0,0.0,,
20,warm_micro,warm-joint,warm_micro_v3,L0.1.0.1.0.0.0.1,LP,OPTIMAL,0.0010001659393310547,0.00042663932664727014,0.0,22.0,,
20,warm_micro,warm-joint,warm_micro_v3,L0.1.0.1.0.0.0.1.0,LP,INFEASIBLE,0.0,4.44435e-05,0.0,0.0,,
20,warm_micro,warm-joint,warm_micro_v3,L0.1.0.1.0.0.0.1.1,LP,OPTIMAL,0.0009999275207519531,0.00042664257664727016,0.0,22.0,,
20,warm_micro,warm-joint,warm_micro_v3,L0.1.0.1.0.0.0.1.1,MIP,OPTIMAL,0.0009999275207519531,0.0004070217944721196,0.0,0.0,,
21,C2,warm-off,warm_dev_v3,L0,LP,OPTIMAL,0.10599994659423828,0.28866487798806356,0.0,2294.0,,
21,C2,warm-off,warm_dev_v3,L0.0,LP,OPTIMAL,0.12000012397766113,0.32894918216854385,0.0,2335.0,,
21,C2,warm-off,warm_dev_v3,L0.1,LP,INFEASIBLE,0.07200002670288086,0.1784982060930843,0.0,1547.0,,
21,C2,warm-off,warm_dev_v3,L0.0.0,LP,OPTIMAL,0.14800000190734863,0.40601020663551096,0.0,2761.0,,
21,C2,warm-off,warm_dev_v3,L0.0.1,LP,OPTIMAL,0.10500001907348633,0.2827497643399095,0.0,2295.0,,
21,C2,warm-off,warm_dev_v3,L0.0,CHILD_BOUND_TARGET_MIP,INTERRUPTED,0.27900004386901855,0.5363483150158935,1.0,1966.0,0.5363483150158935,0.27900004386901855
21,C2,warm-off,warm_dev_v3,L0.0,MIP,OPTIMAL,522.0409998893738,1067.6155287133017,44825.0,3923480.0,0.023817412798958208,0.011646201893795288
22,C2,warm-q,warm_dev_v3,L0,LP,OPTIMAL,0.2760000228881836,0.7890263819220856,0.0,3971.0,,
22,C2,warm-q,warm_dev_v3,L0.0,LP,OPTIMAL,0.35000014305114746,0.9674707659072119,0.0,4922.0,,
22,C2,warm-q,warm_dev_v3,L0.1,LP,INFEASIBLE,0.13099980354309082,0.3454898254562214,0.0,2334.0,,
22,C2,warm-q,warm_dev_v3,L0.0.0,LP,OPTIMAL,0.3489999771118164,1.023117553521138,0.0,4752.0,,
22,C2,warm-q,warm_dev_v3,L0.0.1,LP,OPTIMAL,0.27499985694885254,0.764219585582876,0.0,4136.0,,
22,C2,warm-q,warm_dev_v3,L0.0,CHILD_BOUND_TARGET_MIP,INTERRUPTED,0.41900014877319336,0.9460690462360181,1.0,4977.0,0.9460690462360181,0.41900014877319336
22,C2,warm-q,warm_dev_v3,L0.0,MIP,OPTIMAL,568.3650000095367,1180.0107409802554,36539.0,5565488.0,0.0322945548860192,0.015555023399916166
23,C2,warm-sep,warm_dev_v3,L0,LP,OPTIMAL,0.39299988746643066,1.0454491081863169,0.0,5410.0,,
23,C2,warm-sep,warm_dev_v3,L0.0,LP,OPTIMAL,0.5710000991821289,1.510880661721062,0.0,7085.0,,
23,C2,warm-sep,warm_dev_v3,L0.1,LP,INFEASIBLE,0.1679999828338623,0.4208879425318886,0.0,2944.0,,
23,C2,warm-sep,warm_dev_v3,L0.0.0,LP,INFEASIBLE,0.7209999561309814,1.9430455755551665,0.0,8313.0,,
23,C2,warm-sep,warm_dev_v3,L0.0.1,LP,OPTIMAL,0.46199989318847656,1.216377438353258,0.0,6520.0,,
23,C2,warm-sep,warm_dev_v3,L0.0.1.0,LP,OPTIMAL,0.35500001907348633,0.9495399727997401,0.0,5099.0,,
23,C2,warm-sep,warm_dev_v3,L0.0.1.1,LP,OPTIMAL,0.32700014114379883,0.8480210891850426,0.0,4706.0,,
23,C2,warm-sep,warm_dev_v3,L0.0.1,MIP,OPTIMAL,318.1890001296997,661.6858467614238,10606.0,2205252.0,0.06238787919681537,0.03000084858850648
24,C2,warm-joint,warm_dev_v3,L0,LP,OPTIMAL,0.4089999198913574,0.9520023185299743,0.0,5237.0,,
24,C2,warm-joint,warm_dev_v3,L0.0,LP,OPTIMAL,0.5410001277923584,1.2788330500614193,0.0,6035.0,,
24,C2,warm-joint,warm_dev_v3,L0.1,LP,INFEASIBLE,0.28999996185302734,0.6484040498672015,0.0,3977.0,,
24,C2,warm-joint,warm_dev_v3,L0.0.0,LP,INFEASIBLE,0.7000000476837158,1.7635458554486663,0.0,7062.0,,
24,C2,warm-joint,warm_dev_v3,L0.0.1,LP,OPTIMAL,0.5249998569488525,1.237641014021818,0.0,5950.0,,
24,C2,warm-joint,warm_dev_v3,L0.0.1.0,LP,OPTIMAL,0.5230000019073486,1.2762481494511175,0.0,5948.0,,
24,C2,warm-joint,warm_dev_v3,L0.0.1.1,LP,INFEASIBLE,0.36999988555908203,0.8651597279377469,0.0,4882.0,,
24,C2,warm-joint,warm_dev_v3,L0.0.1.0.0,LP,OPTIMAL,0.5709998607635498,1.3997840231068743,0.0,6261.0,,
24,C2,warm-joint,warm_dev_v3,L0.0.1.0.1,LP,OPTIMAL,0.36699986457824707,0.9099662391117844,0.0,4743.0,,
24,C2,warm-joint,warm_dev_v3,L0.0.1.0,CHILD_BOUND_TARGET_MIP,INTERRUPTED,1.4930000305175781,2.93213516681329,1.0,9696.0,2.93213516681329,1.4930000305175781
24,C2,warm-joint,warm_dev_v3,L0.0.1.0,MIP,OPTIMAL,387.1840000152588,800.7921264618304,9596.0,2427697.0,0.08345061759710613,0.04034847853431209
