number,id,arm,leaf_id,solve_kind,native_log,line,raw_line,scope,event,native_objective,rounded_native_seconds
5,micro-zero,VD-S,L0.1.0.1.0.0.0.1.1,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round70\revision2\local_raw\correctness\micro-zero\VD-S\external\native_logs\L0.1.0.1.0.0.0.1.1_terminal_mip.gurobi.log,28,Loaded user MIP start with objective 0.208333,Native telemetry; no independent intermediate vector retained,Loaded user MIP start with objective,0.208333,
12,S12,DS,L0,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round70\revision2\local_raw\development\S12\DS\external\native_logs\L0_terminal_mip.gurobi.log,69,H  149   100                       0.0671089    0.05176  22.9%  21.6    1s,Native telemetry; no independent intermediate vector retained,printed_search_incumbent,0.0671089,1.0
12,S12,DS,L0,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round70\revision2\local_raw\development\S12\DS\external\native_logs\L0_terminal_mip.gurobi.log,70,H  149   100                       0.0670300    0.05176  22.8%  21.6    1s,Native telemetry; no independent intermediate vector retained,printed_search_incumbent,0.06703,1.0
12,S12,DS,L0,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round70\revision2\local_raw\development\S12\DS\external\native_logs\L0_terminal_mip.gurobi.log,71,H  149   100                       0.0664570    0.05176  22.1%  21.6    1s,Native telemetry; no independent intermediate vector retained,printed_search_incumbent,0.066457,1.0
12,S12,DS,L0,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round70\revision2\local_raw\development\S12\DS\external\native_logs\L0_terminal_mip.gurobi.log,72,*  202   112              25       0.0638284    0.05211  18.4%  21.7    1s,Native telemetry; no independent intermediate vector retained,printed_search_incumbent,0.0638284,1.0
12,S12,DS,L0,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round70\revision2\local_raw\development\S12\DS\external\native_logs\L0_terminal_mip.gurobi.log,73,*  230    88              27       0.0595110    0.05276  11.3%  20.7    1s,Native telemetry; no independent intermediate vector retained,printed_search_incumbent,0.059511,1.0
12,S12,DS,L0,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round70\revision2\local_raw\development\S12\DS\external\native_logs\L0_terminal_mip.gurobi.log,74,*  314    91              15       0.0585640    0.05419  7.46%  20.1    1s,Native telemetry; no independent intermediate vector retained,printed_search_incumbent,0.058564,1.0
14,N12,VD-S,L0,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round70\revision2\local_raw\development\N12\VD-S\external\native_logs\L0_terminal_mip.gurobi.log,28,Loaded user MIP start with objective 0.816238,Native telemetry; no independent intermediate vector retained,Loaded user MIP start with objective,0.816238,
14,N12,VD-S,L0,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round70\revision2\local_raw\development\N12\VD-S\external\native_logs\L0_terminal_mip.gurobi.log,56,*  433   109              21       0.8129181    0.75112  7.60%  35.8    1s,Native telemetry; no independent intermediate vector retained,printed_search_incumbent,0.8129181,1.0
14,N12,VD-S,L0,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round70\revision2\local_raw\development\N12\VD-S\external\native_logs\L0_terminal_mip.gurobi.log,57,*  636    51              12       0.8046255    0.78776  2.10%  32.7    1s,Native telemetry; no independent intermediate vector retained,printed_search_incumbent,0.8046255,1.0
15,N12,DS,L0,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round70\revision2\local_raw\development\N12\DS\external\native_logs\L0_terminal_mip.gurobi.log,28,Loaded user MIP start with objective 0.919588,Native telemetry; no independent intermediate vector retained,Loaded user MIP start with objective,0.919588,
15,N12,DS,L0,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round70\revision2\local_raw\development\N12\DS\external\native_logs\L0_terminal_mip.gurobi.log,56,H    0     0                       0.9165894    0.67708  26.1%     -    0s,Native telemetry; no independent intermediate vector retained,printed_search_incumbent,0.9165894,0.0
15,N12,DS,L0,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round70\revision2\local_raw\development\N12\DS\external\native_logs\L0_terminal_mip.gurobi.log,58,H    6     6                       0.8046255    0.69918  13.1%  90.7    0s,Native telemetry; no independent intermediate vector retained,printed_search_incumbent,0.8046255,0.0
17,D3,VD-S,L0,CHILD_BOUND_TARGET_MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round70\revision2\local_raw\development\D3\VD-S\external\native_logs\L0_c6_1_child_disjunction_target_mip.gurobi.log,28,Loaded user MIP start with objective 0.0494687,Native telemetry; no independent intermediate vector retained,Loaded user MIP start with objective,0.0494687,
17,D3,VD-S,L0,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round70\revision2\local_raw\development\D3\VD-S\external\native_logs\L0_terminal_mip.gurobi.log,28,Loaded user MIP start with objective 0.0494687,Native telemetry; no independent intermediate vector retained,Loaded user MIP start with objective,0.0494687,
17,D3,VD-S,L0,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round70\revision2\local_raw\development\D3\VD-S\external\native_logs\L0_terminal_mip.gurobi.log,117,* 1972   305              41       0.0454515    0.04071  10.4%   122   20s,Native telemetry; no independent intermediate vector retained,printed_search_incumbent,0.0454515,20.0
17,D3,VD-S,L0,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round70\revision2\local_raw\development\D3\VD-S\external\native_logs\L0_terminal_mip.gurobi.log,118,* 2318   247              38       0.0452606    0.04071  10.0%   117   22s,Native telemetry; no independent intermediate vector retained,printed_search_incumbent,0.0452606,22.0
17,D3,VD-S,L0,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round70\revision2\local_raw\development\D3\VD-S\external\native_logs\L0_terminal_mip.gurobi.log,120,H 2809   258                       0.0452295    0.04071  10.0%   112   26s,Native telemetry; no independent intermediate vector retained,printed_search_incumbent,0.0452295,26.0
17,D3,VD-S,L0,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round70\revision2\local_raw\development\D3\VD-S\external\native_logs\L0_terminal_mip.gurobi.log,121,H 2809   252                       0.0451155    0.04071  9.76%   112   26s,Native telemetry; no independent intermediate vector retained,printed_search_incumbent,0.0451155,26.0
17,D3,VD-S,L0,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round70\revision2\local_raw\development\D3\VD-S\external\native_logs\L0_terminal_mip.gurobi.log,122,H 2809   252                       0.0450016    0.04071  9.53%   112   26s,Native telemetry; no independent intermediate vector retained,printed_search_incumbent,0.0450016,26.0
18,D3,DS,L0,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round70\revision2\local_raw\development\D3\DS\external\native_logs\L0_terminal_mip.gurobi.log,28,Loaded user MIP start with objective 0.166376,Native telemetry; no independent intermediate vector retained,Loaded user MIP start with objective,0.166376,
18,D3,DS,L0,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round70\revision2\local_raw\development\D3\DS\external\native_logs\L0_terminal_mip.gurobi.log,58,H    4     4                       0.1640995    0.03462  78.9%   180    1s,Native telemetry; no independent intermediate vector retained,printed_search_incumbent,0.1640995,1.0
18,D3,DS,L0,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round70\revision2\local_raw\development\D3\DS\external\native_logs\L0_terminal_mip.gurobi.log,59,H    4     4                       0.1636724    0.03462  78.8%   180    1s,Native telemetry; no independent intermediate vector retained,printed_search_incumbent,0.1636724,1.0
18,D3,DS,L0,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round70\revision2\local_raw\development\D3\DS\external\native_logs\L0_terminal_mip.gurobi.log,60,H    4     4                       0.1633654    0.03462  78.8%   180    1s,Native telemetry; no independent intermediate vector retained,printed_search_incumbent,0.1633654,1.0
18,D3,DS,L0,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round70\revision2\local_raw\development\D3\DS\external\native_logs\L0_terminal_mip.gurobi.log,61,H   77    76                       0.1291325    0.03462  73.2%  25.9    1s,Native telemetry; no independent intermediate vector retained,printed_search_incumbent,0.1291325,1.0
18,D3,DS,L0,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round70\revision2\local_raw\development\D3\DS\external\native_logs\L0_terminal_mip.gurobi.log,62,H   92    91                       0.1216312    0.03462  71.5%  39.4    1s,Native telemetry; no independent intermediate vector retained,printed_search_incumbent,0.1216312,1.0
18,D3,DS,L0,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round70\revision2\local_raw\development\D3\DS\external\native_logs\L0_terminal_mip.gurobi.log,63,H   92    91                       0.0935363    0.03462  63.0%  39.4    1s,Native telemetry; no independent intermediate vector retained,printed_search_incumbent,0.0935363,1.0
18,D3,DS,L0,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round70\revision2\local_raw\development\D3\DS\external\native_logs\L0_terminal_mip.gurobi.log,64,H   92    91                       0.0872530    0.03462  60.3%  39.4    1s,Native telemetry; no independent intermediate vector retained,printed_search_incumbent,0.087253,1.0
18,D3,DS,L0,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round70\revision2\local_raw\development\D3\DS\external\native_logs\L0_terminal_mip.gurobi.log,65,H  167   153                       0.0771366    0.03517  54.4%  65.9    1s,Native telemetry; no independent intermediate vector retained,printed_search_incumbent,0.0771366,1.0
18,D3,DS,L0,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round70\revision2\local_raw\development\D3\DS\external\native_logs\L0_terminal_mip.gurobi.log,66,H  167   153                       0.0767929    0.03517  54.2%  65.9    1s,Native telemetry; no independent intermediate vector retained,printed_search_incumbent,0.0767929,1.0
18,D3,DS,L0,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round70\revision2\local_raw\development\D3\DS\external\native_logs\L0_terminal_mip.gurobi.log,67,H  191   175                       0.0765204    0.03517  54.0%  60.7    1s,Native telemetry; no independent intermediate vector retained,printed_search_incumbent,0.0765204,1.0
18,D3,DS,L0,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round70\revision2\local_raw\development\D3\DS\external\native_logs\L0_terminal_mip.gurobi.log,68,H  191   175                       0.0764210    0.03517  54.0%  60.7    1s,Native telemetry; no independent intermediate vector retained,printed_search_incumbent,0.076421,1.0
18,D3,DS,L0,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round70\revision2\local_raw\development\D3\DS\external\native_logs\L0_terminal_mip.gurobi.log,69,H  191   175                       0.0762582    0.03517  53.9%  60.7    1s,Native telemetry; no independent intermediate vector retained,printed_search_incumbent,0.0762582,1.0
18,D3,DS,L0,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round70\revision2\local_raw\development\D3\DS\external\native_logs\L0_terminal_mip.gurobi.log,70,H  191   175                       0.0760231    0.03517  53.7%  60.7    1s,Native telemetry; no independent intermediate vector retained,printed_search_incumbent,0.0760231,1.0
18,D3,DS,L0,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round70\revision2\local_raw\development\D3\DS\external\native_logs\L0_terminal_mip.gurobi.log,73,H  979   524                       0.0618463    0.03708  40.0%   110   10s,Native telemetry; no independent intermediate vector retained,printed_search_incumbent,0.0618463,10.0
18,D3,DS,L0,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round70\revision2\local_raw\development\D3\DS\external\native_logs\L0_terminal_mip.gurobi.log,74,H  979   501                       0.0610221    0.03708  39.2%   110   10s,Native telemetry; no independent intermediate vector retained,printed_search_incumbent,0.0610221,10.0
18,D3,DS,L0,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round70\revision2\local_raw\development\D3\DS\external\native_logs\L0_terminal_mip.gurobi.log,75,H  984   464                       0.0566045    0.03708  34.5%   109   10s,Native telemetry; no independent intermediate vector retained,printed_search_incumbent,0.0566045,10.0
18,D3,DS,L0,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round70\revision2\local_raw\development\D3\DS\external\native_logs\L0_terminal_mip.gurobi.log,78,* 2512   736              46       0.0531208    0.03899  26.6%   115   24s,Native telemetry; no independent intermediate vector retained,printed_search_incumbent,0.0531208,24.0
18,D3,DS,L0,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round70\revision2\local_raw\development\D3\DS\external\native_logs\L0_terminal_mip.gurobi.log,80,* 2601   745              52       0.0489148    0.03904  20.2%   115   25s,Native telemetry; no independent intermediate vector retained,printed_search_incumbent,0.0489148,25.0
18,D3,DS,L0,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round70\revision2\local_raw\development\D3\DS\external\native_logs\L0_terminal_mip.gurobi.log,81,H 2604   742                       0.0486644    0.03904  19.8%   115   25s,Native telemetry; no independent intermediate vector retained,printed_search_incumbent,0.0486644,25.0
18,D3,DS,L0,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round70\revision2\local_raw\development\D3\DS\external\native_logs\L0_terminal_mip.gurobi.log,82,H 2718   724                       0.0470340    0.03911  16.9%   115   26s,Native telemetry; no independent intermediate vector retained,printed_search_incumbent,0.047034,26.0
18,D3,DS,L0,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round70\revision2\local_raw\development\D3\DS\external\native_logs\L0_terminal_mip.gurobi.log,87,* 5378  1056              54       0.0460270    0.03982  13.5%   127   49s,Native telemetry; no independent intermediate vector retained,printed_search_incumbent,0.046027,49.0
18,D3,DS,L0,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round70\revision2\local_raw\development\D3\DS\external\native_logs\L0_terminal_mip.gurobi.log,89,H 5907  1075                       0.0453086    0.03982  12.1%   127   53s,Native telemetry; no independent intermediate vector retained,printed_search_incumbent,0.0453086,53.0
18,D3,DS,L0,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round70\revision2\local_raw\development\D3\DS\external\native_logs\L0_terminal_mip.gurobi.log,102,*12741  1376              41       0.0453038    0.04060  10.4%   136  117s,Native telemetry; no independent intermediate vector retained,printed_search_incumbent,0.0453038,117.0
18,D3,DS,L0,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round70\revision2\local_raw\development\D3\DS\external\native_logs\L0_terminal_mip.gurobi.log,104,H13279  1388                       0.0450542    0.04064  9.80%   136  122s,Native telemetry; no independent intermediate vector retained,printed_search_incumbent,0.0450542,122.0
18,D3,DS,L0,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round70\revision2\local_raw\development\D3\DS\external\native_logs\L0_terminal_mip.gurobi.log,111,H16979  1437                       0.0450016    0.04095  8.99%   141  152s,Native telemetry; no independent intermediate vector retained,printed_search_incumbent,0.0450016,152.0
19,D3,K1-R,L0,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round70\revision2\local_raw\development\D3\K1-R\external\native_logs\L0_terminal_mip.gurobi.log,58,H 3693  1286                       0.0481280    0.04135  14.1%   130   44s,Native telemetry; no independent intermediate vector retained,printed_search_incumbent,0.048128,44.0
19,D3,K1-R,L0,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round70\revision2\local_raw\development\D3\K1-R\external\native_logs\L0_terminal_mip.gurobi.log,59,H 3693  1175                       0.0460270    0.04135  10.2%   130   44s,Native telemetry; no independent intermediate vector retained,printed_search_incumbent,0.046027,44.0
19,D3,K1-R,L0,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round70\revision2\local_raw\development\D3\K1-R\external\native_logs\L0_terminal_mip.gurobi.log,76,H11555  1230                       0.0453086    0.04249  6.21%   170  126s,Native telemetry; no independent intermediate vector retained,printed_search_incumbent,0.0453086,126.0
19,D3,K1-R,L0,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round70\revision2\local_raw\development\D3\K1-R\external\native_logs\L0_terminal_mip.gurobi.log,101,H23919   887                       0.0450542    0.04343  3.60%   188  249s,Native telemetry; no independent intermediate vector retained,printed_search_incumbent,0.0450542,249.0
